P4,O2,P8,T8,C4,Cz,Fz,F4,Fp2,F8,Fp1,F7,F3,C3,T7,P7,P3,O1,Pz
4.345010773,2.875760127,5.724433687,11.44080678,7.113129143,2.108080504,30.8798204,8.13293311,6.955271002,20.27132893,9.910461821,3.471862278,1.420137697,0.427808326,3.03743323,-1.268063959,-0.493718587,-2.664553579,1.547555306
7.132362177,5.379622524,8.197854862,15.60304941,5.946686647,1.586263834,12.35473976,11.1459977,16.23124841,15.22923299,12.37317393,-0.698486221,-2.317350407,-1.624227981,5.935334894,4.861313999,1.029752533,-0.721882167,3.516880774
8.998081871,7.973445557,9.527674213,16.82975564,4.281738557,1.190453072,-0.692352507,12.28591956,25.82014086,11.78370146,15.7986156,-5.195899287,-5.626101647,-2.07259388,8.849025141,13.76750717,3.941989979,2.649507988,5.867329156
9.499495949,9.328102694,9.553214667,14.36662087,2.796842741,1.402922608,-2.601601847,10.96266317,31.6421319,10.69005443,19.11903554,-8.30714696,-6.941228473,-0.989766048,9.325665801,21.62872864,7.138311294,5.495968526,7.660914792
8.917303709,8.454536249,8.895808599,9.685348463,1.91126138,2.255643706,3.488285111,7.702561868,31.26220462,11.61104885,19.76284579,-8.991442973,-6.111968795,0.594925789,6.113336227,24.96085341,9.433570897,6.339621641,8.196722155
7.900607605,5.367703368,8.25876184,5.482288766,1.72569546,3.339025126,9.390386435,3.991957764,25.29960236,13.30990587,16.02311795,-7.301407105,-4.208636621,1.421693055,0.256989238,22.17981892,10.19725364,5.057266178,7.436055226
6.899161618,1.085996009,7.656391129,3.549211568,2.078521216,4.106618607,8.931493392,1.464270279,17.04355123,13.84817729,9.115450671,-4.17466126,-2.521280677,0.838282419,-5.446908751,14.20930439,9.544106716,2.662041252,5.936329031
5.831461699,-3.058445803,6.293661837,3.218172568,2.636799594,4.21192989,2.551367086,0.97827786,10.54316539,11.2675936,2.936937832,-0.734118922,-1.578801891,-0.840773873,-8.201754504,4.057868689,8.003251727,0.275645858,4.346769116
4.225649699,-6.274478907,3.24841828,1.790023244,3.005414021,3.636744582,-3.919248897,2.228544679,8.348478652,4.860558143,1.439724709,2.388370669,-0.93310078,-2.667716578,-6.870666575,-4.411568412,5.987785555,-1.788894107,2.876916201
1.683515067,-8.675247035,-1.610329011,-3.17280796,2.870919249,2.573967369,-4.736240633,4.134192774,10.27037653,-3.741642042,5.63900659,5.206074648,0.217784541,-3.792340673,-2.429346013,-8.124383838,3.502946438,-4.068226665,1.166623097
