P4,O2,P8,T8,C4,Cz,Fz,F4,Fp2,F8,Fp1,F7,F3,C3,T7,P7,P3,O1,Pz
-51.61884322,-30.39941561,-24.31300785,7.389380071,-13.22901015,-10.76139979,5.084430478,-5.839504273,-3.27488077,-23.84452646,-14.72318699,6.754806951,-8.827443108,-10.0372262,0.931522877,-17.74812746,-9.480627604,-49.1275593,-18.13723397
-39.94730301,-25.2941473,-23.75887341,3.385034702,-21.65177027,-9.208935795,14.76463689,0.896153519,-27.42626946,-22.84968359,-16.92930404,-6.257747303,-6.850913922,-15.2536602,-6.019814092,-19.57443889,-17.67810789,-39.30648026,-20.08803881
-21.72977211,-19.88933693,-22.35190805,1.802598517,-22.71066994,-5.351815759,14.88557073,5.079453376,-43.52706756,-20.0547343,-13.94756708,-19.91287867,-3.829179154,-18.95547119,-14.74048083,-22.10669551,-23.99886347,-24.56438835,-18.54752977
-6.229574037,-17.13245864,-21.18166489,2.72448687,-17.90957633,-1.587796619,5.555762527,5.72895134,-49.72831239,-17.52983148,-9.453306182,-29.93912345,-1.801412681,-20.96287749,-22.199697,-25.84944857,-27.84987872,-12.97706051,-15.52345255
-0.650671112,-18.77549733,-21.26737093,5.432411158,-11.65018436,0.088289652,-7.16354779,3.199369718,-49.68077934,-17.62663622,-7.671597012,-34.27285151,-2.218602373,-21.94055424,-25.90531172,-30.78140122,-29.98403068,-10.53001629,-13.30609635
-5.742292138,-24.20729276,-23.01007356,8.346951898,-8.39107042,-0.625504653,-15.79179058,-1.209387149,-49.14705645,-21.18145867,-10.49252403,-33.8321521,-4.828979462,-22.46724412,-25.42906387,-35.70473878,-31.27901291,-17.1157905,-12.83490445
-15.96274669,-30.71357053,-25.90077072,9.460539791,-10.00781278,-2.338368856,-16.67413429,-6.021217682,-51.82991171,-26.80408564,-16.39720357,-31.42917427,-7.817444561,-22.43850987,-22.61437735,-38.63342153,-31.79152352,-26.97030095,-13.30720264
-23.80486001,-35.06769984,-28.76726457,7.323948907,-15.09749499,-3.163383707,-12.00974994,-10.20799012,-57.43170901,-31.79608957,-21.84884898,-29.76595257,-9.134711489,-21.31540297,-20.28940507,-38.08782131,-30.90491841,-33.06980421,-13.16806996
-24.89540795,-35.41079433,-30.49182749,2.049692519,-20.47673538,-2.137718549,-7.402424903,-13.35987147,-62.97032865,-33.9951818,-23.9713952,-29.95857764,-8.012464171,-18.90806907,-20.38812828,-34.31071617,-28.31581075,-32.04075057,-11.54013915
-20.22277262,-32.18745319,-30.75104457,-4.488448227,-23.5666638,0.191716131,-7.180837472,-15.4794277,-65.83235219,-33.17159664,-22.48075306,-31.45720948,-5.504635969,-15.9038342,-22.81556486,-29.39455317,-24.83862684,-25.96679633,-8.923295401
-14.32954669,-27.60132088,-30.2411547,-9.636387167,-23.89633647,2.352671148,-11.27665376,-16.70909434,-65.94076766,-30.99851829,-19.54535582,-33.1095943,-3.663654158,-13.61848077,-25.82850942,-26.13433591,-22.20193569,-20.09362153,-6.71683145
-11.39888084,-24.09604252,-30.1808945,-11.57764609,-22.83271304,3.125679347,-15.91301661,-17.2282144,-65.46448611,-29.72556895,-17.89751261,-34.34231712,-4.034941018,-13.17669094,-27.55933416,-26.39869551,-21.94470096,-18.59919948,-6.110451635
-12.42866384,-22.96540616,-31.41386203,-10.42532493,-22.06741612,2.360578649,-17.15776939,-17.30610561,-66.65794344,-30.61862506,-18.78156621,-35.5377329,-6.655945632,-14.82823081,-27.46538345,-30.14668134,-24.33405372,-21.7944673,-7.316361796
-15.35086416,-23.9477466,-33.75331162,-7.924107896,-22.22203527,0.875039294,-14.20529474,-17.33119794,-69.85923431,-33.2942999,-21.27533414,-37.46542378,-10.27513892,-17.94054501,-26.59180239,-35.67900223,-28.20434518,-26.59729624,-9.6840539
-17.38076306,-25.83625624,-36.0503343,-5.965164712,-22.61124583,-0.336745448,-9.75894673,-17.69520013,-73.30921421,-36.29413872,-23.30809918,-40.38982053,-13.47512514,-21.56799953,-26.49877194,-40.78777261,-31.81259108,-29.37253124,-12.41163526
